service	controller	annotation	path
booking-service	AdminBookingController	GET	/api/v1/bookings/admin/add-ons
booking-service	AdminBookingController	POST	/api/v1/bookings/admin/add-ons
booking-service	AdminBookingController	PUT	/api/v1/bookings/admin/add-ons/{id}
booking-service	AdminBookingController	PATCH	/api/v1/bookings/admin/add-ons/{id}/toggle-active
booking-service	AdminBookingController	DELETE	/api/v1/bookings/admin/add-ons/{id}
booking-service	AdminBookingController	GET	/api/v1/bookings/admin/event-categories
booking-service	AdminBookingController	POST	/api/v1/bookings/admin/event-categories
booking-service	AdminBookingController	PUT	/api/v1/bookings/admin/event-categories/{id}
booking-service	AdminBookingController	PATCH	/api/v1/bookings/admin/event-categories/{id}/toggle-active
booking-service	AdminBookingController	DELETE	/api/v1/bookings/admin/event-categories/{id}
booking-service	AdminBookingController	GET	/api/v1/bookings/admin/event-categories/global
booking-service	AdminBookingController	POST	/api/v1/bookings/admin/event-categories/global
booking-service	AdminBookingController	PUT	/api/v1/bookings/admin/event-categories/global/{id}
booking-service	AdminBookingController	PATCH	/api/v1/bookings/admin/event-categories/global/{id}/toggle-active
booking-service	AdminBookingController	DELETE	/api/v1/bookings/admin/event-categories/global/{id}
booking-service	AdminBookingController	GET	/api/v1/bookings/admin/addon-categories
booking-service	AdminBookingController	POST	/api/v1/bookings/admin/addon-categories
booking-service	AdminBookingController	PUT	/api/v1/bookings/admin/addon-categories/{id}
booking-service	AdminBookingController	PATCH	/api/v1/bookings/admin/addon-categories/{id}/toggle-active
booking-service	AdminBookingController	DELETE	/api/v1/bookings/admin/addon-categories/{id}
booking-service	AdminBookingController	GET	/api/v1/bookings/admin/addon-categories/global
booking-service	AdminBookingController	POST	/api/v1/bookings/admin/addon-categories/global
booking-service	AdminBookingController	PUT	/api/v1/bookings/admin/addon-categories/global/{id}
booking-service	AdminBookingController	PATCH	/api/v1/bookings/admin/addon-categories/global/{id}/toggle-active
booking-service	AdminBookingController	DELETE	/api/v1/bookings/admin/addon-categories/global/{id}
booking-service	AdminBookingController	GET	/api/v1/bookings/admin/reports
booking-service	AdminBookingController	GET	/api/v1/bookings/admin/reports/date-range
booking-service	AdminBookingController	POST	/api/v1/bookings/admin/audit
booking-service	AdminBookingController	GET	/api/v1/bookings/admin/house-accounts
booking-service	AdminBookingController	POST	/api/v1/bookings/admin/create-booking
booking-service	AdminBookingController	GET	/api/v1/bookings/admin/customer-booking-count/{customerId}
booking-service	AdminBookingController	GET	/api/v1/bookings/admin/customers/{customerId}/review-summary
booking-service	AdminBookingController	GET	/api/v1/bookings/admin/customers/{customerId}/reviews
