service	controller	annotation	path
booking-service	LoyaltyV2SuperAdminController	POST	/api/v2/loyalty/super-admin/bindings/{bindingId}/config-lock
booking-service	LoyaltyV2SuperAdminController	GET	/api/v2/loyalty/super-admin/customers/{customerId}
booking-service	LoyaltyV2SuperAdminController	POST	/api/v2/loyalty/super-admin/customers/{customerId}/adjust
booking-service	LoyaltyV2SuperAdminController	GET	/api/v2/loyalty/super-admin/customers/{customerId}/ledger
booking-service	LoyaltyV2SuperAdminController	GET	/api/v2/loyalty/super-admin/tier-perks
booking-service	BingeAccessController	GET	/api/v1/bookings/admin/my-permissions
booking-service	BingeAccessController	GET	/api/v1/bookings/admin/binges/{id}/about
booking-service	BingeAccessController	GET	/api/v1/bookings/admin/binges/{id}/access
booking-service	BingeAccessController	PUT	/api/v1/bookings/admin/binges/{id}/access/{moduleKey}
booking-service	BingeAccessController	PATCH	/api/v1/bookings/admin/binges/{id}/access-remarks
notification-service	DeliveryWebhookController	POST	/api/v1/notifications/webhooks/delivery
notification-service	NotificationController	GET	/api/v1/notifications/my
notification-service	NotificationController	GET	/api/v1/notifications/booking/{bookingRef}
notification-service	NotificationController	POST	/api/v1/notifications/admin/retry-failed
notification-service	NotificationController	POST	/api/v1/notifications/admin/{id}/retry
notification-service	NotificationPreferenceController	GET	/api/v1/notifications/preferences
notification-service	NotificationPreferenceController	PUT	/api/v1/notifications/preferences
notification-service	PushSubscriptionController	GET	/api/v1/notifications/push/public-key
notification-service	PushSubscriptionController	POST	/api/v1/notifications/push/subscribe
notification-service	PushSubscriptionController	POST	/api/v1/notifications/push/unsubscribe
notification-service	PushSubscriptionController	POST	/api/v1/notifications/push/test
notification-service	TemplateController	GET	/api/v1/notifications/admin/templates
notification-service	TemplateController	POST	/api/v1/notifications/admin/templates
notification-service	TemplateController	POST	/api/v1/notifications/admin/templates/activate
notification-service	WhatsAppTemplateController	GET	/api/v1/notifications/admin/whatsapp-templates
notification-service	WhatsAppTemplateController	GET	/api/v1/notifications/admin/whatsapp-templates/{id}
notification-service	WhatsAppTemplateController	POST	/api/v1/notifications/admin/whatsapp-templates
notification-service	WhatsAppTemplateController	PUT	/api/v1/notifications/admin/whatsapp-templates/{id}
notification-service	WhatsAppTemplateController	DELETE	/api/v1/notifications/admin/whatsapp-templates/{id}
payment-service	AdminApprovalController	GET	/api/v1/payments/admin/approvals
payment-service	AdminApprovalController	GET	/api/v1/payments/admin/approvals/{id}
payment-service	AdminApprovalController	POST	/api/v1/payments/admin/approvals/{id}/approve
payment-service	AdminApprovalController	POST	/api/v1/payments/admin/approvals/{id}/reject
payment-service	AdminApprovalController	POST	/api/v1/payments/admin/approvals/{id}/cancel
payment-service	AdminApprovalController	POST	/api/v1/payments/admin/approvals/{id}/execute-refund-retry
payment-service	PaymentController	POST	/api/v1/payments/initiate
payment-service	PaymentController	GET	/api/v1/payments/methods/{bookingRef}
payment-service	PaymentController	POST	/api/v1/payments/callback
payment-service	PaymentController	POST	/api/v1/payments/admin/simulate/{transactionId}
payment-service	PaymentController	GET	/api/v1/payments/transaction/{transactionId}
payment-service	PaymentController	GET	/api/v1/payments/booking/{bookingRef}
payment-service	PaymentController	GET	/api/v1/payments/my
payment-service	PaymentController	GET	/api/v1/payments/my/summary
payment-service	PaymentController	POST	/api/v1/payments/admin/refund
payment-service	PaymentController	GET	/api/v1/payments/admin/refunds/{paymentId}
payment-service	PaymentController	GET	/api/v1/payments/booking/{bookingRef}/refunds
payment-service	PaymentController	GET	/api/v1/payments/admin/refunds/failed
payment-service	PaymentController	POST	/api/v1/payments/admin/refunds/{refundId}/retry
payment-service	PaymentController	POST	/api/v1/payments/cancel/{transactionId}
payment-service	PaymentController	GET	/api/v1/payments/admin/stats
payment-service	PaymentController	GET	/api/v1/payments/admin/disputes
payment-service	PaymentController	GET	/api/v1/payments/admin/disputes/all
payment-service	PaymentController	GET	/api/v1/payments/admin/disputes/count
payment-service	PaymentController	PATCH	/api/v1/payments/admin/disputes/{disputeId}/notes
payment-service	PaymentController	POST	/api/v1/payments/admin/connect/onboard
payment-service	PaymentController	GET	/api/v1/payments/admin/connect/status
payment-service	PaymentController	POST	/api/v1/payments/webhooks/stripe
payment-service	PaymentController	POST	/api/v1/payments/webhooks/razorpay
payment-service	PaymentController	POST	/api/v1/payments/admin/record-cash
payment-service	PaymentController	POST	/api/v1/payments/admin/add-payment
