method	path	clients	sources
GET	/api/v1/bookings/admin/binges/{}/cancellation-policy	api	frontend\src\services\endpoints.js:573
GET	/api/v1/bookings/admin/binges/{}/cancellation-tiers	api	frontend\src\services\endpoints.js:570
GET	/api/v1/bookings/admin/binges/{}/customer-about	api	frontend\src\services\endpoints.js:520
GET	/api/v1/bookings/admin/binges/{}/customer-dashboard	api	frontend\src\services\endpoints.js:518
GET	/api/v1/bookings/admin/binges/by-admin/{}	api	frontend\src\services\endpoints.js:499
GET	/api/v1/bookings/admin/binges/change-requests	api	frontend\src\services\endpoints.js:508
GET	/api/v1/bookings/admin/binges/pending	api	frontend\src\services\endpoints.js:525
GET	/api/v1/bookings/admin/booked-slots	api	frontend\src\services\endpoints.js:419
GET	/api/v1/bookings/admin/by-date	api	frontend\src\services\endpoints.js:321
GET	/api/v1/bookings/admin/by-status	api	frontend\src\services\endpoints.js:322
GET	/api/v1/bookings/admin/currencies	api	frontend\src\services\endpoints.js:225
GET	/api/v1/bookings/admin/customer-booking-count/{}	api	frontend\src\services\endpoints.js:417
GET	/api/v1/bookings/admin/customers/{}/reviews	api	frontend\src\services\endpoints.js:624
GET	/api/v1/bookings/admin/customers/{}/review-summary	api	frontend\src\services\endpoints.js:623
GET	/api/v1/bookings/admin/dashboard-stats	api	frontend\src\services\endpoints.js:317
GET	/api/v1/bookings/admin/event-categories	api	frontend\src\services\endpoints.js:376
GET	/api/v1/bookings/admin/event-categories/global	api	frontend\src\services\endpoints.js:382
GET	/api/v1/bookings/admin/events/stream	eventsource	frontend\src\hooks\useRealtimeUpdates.js:47
GET	/api/v1/bookings/admin/event-types	api	frontend\src\services\endpoints.js:364
GET	/api/v1/bookings/admin/freezes	api	frontend\src\services\endpoints.js:576
GET	/api/v1/bookings/admin/house-accounts	api	frontend\src\services\endpoints.js:325
GET	/api/v1/bookings/admin/invoices	api	frontend\src\services\endpoints.js:400
GET	/api/v1/bookings/admin/my-permissions	api	frontend\src\services\endpoints.js:532
GET	/api/v1/bookings/admin/notifications	api	frontend\src\services\endpoints.js:547
GET	/api/v1/bookings/admin/notifications/sent	api	frontend\src\services\endpoints.js:556
GET	/api/v1/bookings/admin/notifications/thread/{}	api	frontend\src\services\endpoints.js:558
GET	/api/v1/bookings/admin/notifications/unread-count	api	frontend\src\services\endpoints.js:549
GET	/api/v1/bookings/admin/operational-date	api	frontend\src\services\endpoints.js:406
GET	/api/v1/bookings/admin/ops/health	api	frontend\src\services\endpoints.js:595
GET	/api/v1/bookings/admin/pricing/customer/{}	api	frontend\src\services\endpoints.js:483
GET	/api/v1/bookings/admin/pricing/customer-detail/{}	api	frontend\src\services\endpoints.js:496
GET	/api/v1/bookings/admin/pricing/rate-codes	api	frontend\src\services\endpoints.js:475
GET	/api/v1/bookings/admin/pricing/rate-codes/{}	api	frontend\src\services\endpoints.js:477
GET	/api/v1/bookings/admin/pricing/rate-codes/active	api	frontend\src\services\endpoints.js:476
GET	/api/v1/bookings/admin/pricing/resolve/{}	api	frontend\src\services\endpoints.js:493
GET	/api/v1/bookings/admin/pricing/resolve-rate-code/{}	api	frontend\src\services\endpoints.js:495
GET	/api/v1/bookings/admin/pricing/surge-rules	api	frontend\src\services\endpoints.js:614
GET	/api/v1/bookings/admin/recovery/expired-holds	api	frontend\src\services\endpoints.js:444
GET	/api/v1/bookings/admin/recovery/funnel	api	frontend\src\services\endpoints.js:450
GET	/api/v1/bookings/admin/recovery/no-show	api	frontend\src\services\endpoints.js:446
GET	/api/v1/bookings/admin/recovery/paid-not-confirmed	api	frontend\src\services\endpoints.js:445
GET	/api/v1/bookings/admin/recovery/stuck-pending	api	frontend\src\services\endpoints.js:443
GET	/api/v1/bookings/admin/recovery/summary	api	frontend\src\services\endpoints.js:447
GET	/api/v1/bookings/admin/reports	api	frontend\src\services\endpoints.js:403
GET	/api/v1/bookings/admin/reports/date-range	api	frontend\src\services\endpoints.js:404
GET	/api/v1/bookings/admin/risk-flags	api	frontend\src\services\endpoints.js:667
GET	/api/v1/bookings/admin/risk-flags/booking/{}	api	frontend\src\services\endpoints.js:668
GET	/api/v1/bookings/admin/sagas/compensating	api	frontend\src\services\endpoints.js:437
GET	/api/v1/bookings/admin/sagas/failed	api	frontend\src\services\endpoints.js:436
GET	/api/v1/bookings/admin/search	api	frontend\src\services\endpoints.js:326
GET	/api/v1/bookings/admin/support/{}	api	frontend\src\services\endpoints.js:630
GET	/api/v1/bookings/admin/support/{}/notes	api	frontend\src\services\endpoints.js:634
GET	/api/v1/bookings/admin/support/escalations	api	frontend\src\services\endpoints.js:632
GET	/api/v1/bookings/admin/taxes	api	frontend\src\services\endpoints.js:209
GET	/api/v1/bookings/admin/taxes/global	api	frontend\src\services\endpoints.js:213
GET	/api/v1/bookings/admin/today	api	frontend\src\services\endpoints.js:319
GET	/api/v1/bookings/admin/upcoming	api	frontend\src\services\endpoints.js:320
GET	/api/v1/bookings/admin/venue-rooms	api	frontend\src\services\endpoints.js:599
GET	/api/v1/bookings/admin/venue-rooms/{}/blocks	api	frontend\src\services\endpoints.js:608
GET	/api/v1/bookings/admin/venue-rooms/blocks	api	frontend\src\services\endpoints.js:610
GET	/api/v1/bookings/binges	api	frontend\src\services\endpoints.js:156
GET	/api/v1/bookings/binges/{}	api	frontend\src\services\endpoints.js:160
GET	/api/v1/bookings/binges/{}/cancellation-tiers	api	frontend\src\services\endpoints.js:165
GET	/api/v1/bookings/binges/{}/customer-about	api	frontend\src\services\endpoints.js:162
GET	/api/v1/bookings/binges/{}/customer-dashboard	api	frontend\src\services\endpoints.js:161
GET	/api/v1/bookings/binges/{}/reviews	api	frontend\src\services\endpoints.js:164
GET	/api/v1/bookings/binges/{}/reviews/summary	api	frontend\src\services\endpoints.js:163
GET	/api/v1/bookings/binges/{}/site-content/{}	api	frontend\src\services\endpoints.js:183
GET	/api/v1/bookings/binges/nearby	api	frontend\src\services\endpoints.js:159
GET	/api/v1/bookings/booked-slots	api	frontend\src\services\endpoints.js:128
GET	/api/v1/bookings/currencies	api	frontend\src\services\endpoints.js:189;frontend\src\services\endpoints.js:223
GET	/api/v1/bookings/event-categories	api	frontend\src\services\endpoints.js:120
GET	/api/v1/bookings/event-types	api	frontend\src\services\endpoints.js:117
GET	/api/v1/bookings/freezes/me	api	frontend\src\services\endpoints.js:179
GET	/api/v1/bookings/freezes/me/binge/{}	api	frontend\src\services\endpoints.js:180
GET	/api/v1/bookings/my	api	frontend\src\services\endpoints.js:124
GET	/api/v1/bookings/my/current	api	frontend\src\services\endpoints.js:125
GET	/api/v1/bookings/my/past	api	frontend\src\services\endpoints.js:126
GET	/api/v1/bookings/my/reviews/pending	api	frontend\src\services\endpoints.js:127
GET	/api/v1/bookings/my-pricing	api	frontend\src\services\endpoints.js:149
GET	/api/v1/bookings/notifications	api	frontend\src\services\endpoints.js:288
GET	/api/v1/bookings/notifications/sent	api	frontend\src\services\endpoints.js:291
GET	/api/v1/bookings/notifications/thread/{}	api	frontend\src\services\endpoints.js:292
GET	/api/v1/bookings/notifications/unread-count	api	frontend\src\services\endpoints.js:289
GET	/api/v1/bookings/recurring/{}	api	frontend\src\services\endpoints.js:146
GET	/api/v1/bookings/slot-capacity	api	frontend\src\services\endpoints.js:150
GET	/api/v1/bookings/slot-holds/{}	api	frontend\src\services\endpoints.js:197
GET	/api/v1/bookings/slot-holds/admin	api	frontend\src\services\endpoints.js:201
GET	/api/v1/bookings/slot-holds/my	api	frontend\src\services\endpoints.js:199
GET	/api/v1/bookings/surge/quote	api	frontend\src\services\endpoints.js:177
GET	/api/v1/bookings/surge-rules	api	frontend\src\services\endpoints.js:175
GET	/api/v1/bookings/taxes/preview	api	frontend\src\services\endpoints.js:187;frontend\src\services\endpoints.js:217
GET	/api/v1/bookings/venue-rooms	api	frontend\src\services\endpoints.js:167
GET	/api/v1/bookings/venue-rooms/{}/reviews	api	frontend\src\services\endpoints.js:171
