path	element_guard_chain	source	line
/	<Home />	frontend\src\App.jsx	207
/login	<PublicOnlyRoute><Login /></PublicOnlyRoute>	frontend\src\App.jsx	208
/register	<PublicOnlyRoute><Register /></PublicOnlyRoute>	frontend\src\App.jsx	209
/forgot-password	<PublicOnlyRoute><ForgotPassword /></PublicOnlyRoute>	frontend\src\App.jsx	210
/reset-password	<PublicOnlyRoute><ResetPassword /></PublicOnlyRoute>	frontend\src\App.jsx	211
/verify-email	<VerifyEmail />	frontend\src\App.jsx	212
/terms	<Terms />	frontend\src\App.jsx	213
/transfers/:token	<TransferAccept />	frontend\src\App.jsx	216
/complete-profile	<CompleteProfileRoute><CompleteProfile /></CompleteProfileRoute>	frontend\src\App.jsx	217
/platform	<ProtectedRoute><PlatformDashboard /></ProtectedRoute>	frontend\src\App.jsx	218
/binges	<ProtectedRoute><BingeSelector /></ProtectedRoute>	frontend\src\App.jsx	219
/dashboard	<BingeRequired><Dashboard /></BingeRequired>	frontend\src\App.jsx	221
/book	<BingeRequired><BookingPage /></BingeRequired>	frontend\src\App.jsx	222
/booking/:ref	<BingeRequired><BookingConfirmation /></BingeRequired>	frontend\src\App.jsx	223
/my-bookings	<BingeRequired><MyBookings /></BingeRequired>	frontend\src\App.jsx	224
/membership	<ProtectedRoute><Membership /></ProtectedRoute>	frontend\src\App.jsx	225
/payments	<BingeRequired><CustomerPayments /></BingeRequired>	frontend\src\App.jsx	226
/about	<BingeRequired><AboutBinge /></BingeRequired>	frontend\src\App.jsx	227
/account	<ProtectedRoute><AccountCenter /></ProtectedRoute>	frontend\src\App.jsx	228
/account/notifications	<ProtectedRoute><CustomerNotifications /></ProtectedRoute>	frontend\src\App.jsx	229
/messages	<ProtectedRoute><CustomerMessages /></ProtectedRoute>	frontend\src\App.jsx	230
/account/sessions	<ProtectedRoute><MySessions /></ProtectedRoute>	frontend\src\App.jsx	231
/settings	<ProtectedRoute><CustomerSettings /></ProtectedRoute>	frontend\src\App.jsx	232
/account/security/mfa	<ProtectedRoute><MfaSetup /></ProtectedRoute>	frontend\src\App.jsx	233
/payment/:ref	<BingeRequired><PaymentPage /></BingeRequired>	frontend\src\App.jsx	234
/admin/login	<PublicOnlyRoute><AdminLogin /></PublicOnlyRoute>	frontend\src\App.jsx	236
/admin/register	<SuperAdminRoute scope="ADMIN_REGISTER"><AdminRegister /></SuperAdminRoute>	frontend\src\App.jsx	237
/admin/platform	<AdminRoute><AdminEntranceDashboard /></AdminRoute>	frontend\src\App.jsx	238
/admin/messages	<AdminRoute><AdminMessages /></AdminRoute>	frontend\src\App.jsx	239
/admin/account	<AdminRoute><AdminAccount /></AdminRoute>	frontend\src\App.jsx	240
/admin/all-users	<SuperAdminRoute scope="ALL_USERS"><AdminAllUsers /></SuperAdminRoute>	frontend\src\App.jsx	241
/admin/customers/:id/edit	<SuperAdminRoute scope="CUSTOMER_EDIT"><AdminCustomerEdit /></SuperAdminRoute>	frontend\src\App.jsx	242
/admin/super	<SuperAdminRoute scope="SUPER_DASHBOARD"><SuperAdminDashboard /></SuperAdminRoute>	frontend\src\App.jsx	243
/admin/super/authority	<SuperAdminRoute><AuthorityHandover /></SuperAdminRoute>	frontend\src\App.jsx	245
/admin/home-editor	<SuperAdminRoute scope="HOME_CMS"><AdminHomeEditor /></SuperAdminRoute>	frontend\src\App.jsx	246
/admin/terms-editor	<SuperAdminRoute scope="HOME_CMS"><AdminTermsEditor /></SuperAdminRoute>	frontend\src\App.jsx	247
/admin/sessions	<AdminRoute><MySessions /></AdminRoute>	frontend\src\App.jsx	248
/admin/security/mfa	<AdminRoute><MfaSetup /></AdminRoute>	frontend\src\App.jsx	249
/admin/binges	<AdminRoute><BingeManagement /></AdminRoute>	frontend\src\App.jsx	250
/admin/dashboard	<AdminBingeRequired><AdminDashboard /></AdminBingeRequired>	frontend\src\App.jsx	251
/admin/bookings	<AdminBingeRequired><AdminBookings /></AdminBingeRequired>	frontend\src\App.jsx	252
/admin/blocked-dates	<AdminBingeRequired><AdminBlockedDates /></AdminBingeRequired>	frontend\src\App.jsx	253
/admin/about-binge	<AdminBingeRequired><AdminBingeAbout /></AdminBingeRequired>	frontend\src\App.jsx	254
/admin/event-types	<AdminBingeRequired><AdminEventTypes /></AdminBingeRequired>	frontend\src\App.jsx	255
/admin/rate-codes	<AdminBingeRequired><AdminRateCodes /></AdminBingeRequired>	frontend\src\App.jsx	256
/admin/loyalty-center	<SuperAdminRoute scope="LOYALTY"><AdminLoyaltyCenter /></SuperAdminRoute>	frontend\src\App.jsx	257
/admin/customer-pricing	<AdminBingeRequired><AdminCustomerPricing /></AdminBingeRequired>	frontend\src\App.jsx	258
/admin/venue-rooms	<AdminBingeRequired><AdminVenueRooms /></AdminBingeRequired>	frontend\src\App.jsx	259
/admin/surge-rules	<AdminBingeRequired><AdminSurgeRules /></AdminBingeRequired>	frontend\src\App.jsx	260
/admin/waitlist	<AdminBingeRequired><AdminWaitlist /></AdminBingeRequired>	frontend\src\App.jsx	261
/admin/customer-freezes	<AdminBingeRequired><AdminCustomerFreezes /></AdminBingeRequired>	frontend\src\App.jsx	262
/admin/risk-flags	<AdminBingeRequired><AdminRiskFlags /></AdminBingeRequired>	frontend\src\App.jsx	263
/admin/support	<AdminRoute><AdminSupportConsole /></AdminRoute>	frontend\src\App.jsx	264
/admin/recovery	<AdminBingeRequired><AdminRecoveryQueues /></AdminBingeRequired>	frontend\src\App.jsx	265
/admin/approvals	<AdminBingeRequired><AdminApprovals /></AdminBingeRequired>	frontend\src\App.jsx	266
/admin/disputes	<AdminBingeRequired><AdminDisputes /></AdminBingeRequired>	frontend\src\App.jsx	267
/admin/failed-refunds	<AdminBingeRequired><AdminFailedRefunds /></AdminBingeRequired>	frontend\src\App.jsx	268
/admin/slot-holds	<AdminBingeRequired><AdminSlotHolds /></AdminBingeRequired>	frontend\src\App.jsx	269
